"id","comment_text","NOT","HOF"
hasoc_english_1,"!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...",1,0
hasoc_english_2,"!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!",0,1
hasoc_english_3,"!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit",0,1
hasoc_english_4,"!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny",0,1
hasoc_english_5,"!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;",0,1
hasoc_english_6,"!!!!!!!!!!!!!!!!!!"@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;",0,1
hasoc_english_7,"!!!!!!"@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!",0,1
hasoc_english_8,"!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;",0,1
hasoc_english_9,"&amp; you might not get ya bitch back &amp; thats that",0,1
hasoc_english_10,"@rhythmixx_ :hobbies include: fighting Mariam"  bitch",0,1
hasoc_english_11,"Keeks is a bitch she curves everyone " lol I walked into a conversation like this. Smh",0,1
hasoc_english_12,"Murda Gang bitch its Gang Land",0,1
hasoc_english_13,"So hoes that smoke are losers ? " yea ... go on IG",0,1
hasoc_english_14,"bad bitches is the only thing that i like",0,1
hasoc_english_15,"bitch get up off me",0,1
hasoc_english_16,"bitch nigga miss me with it",0,1
hasoc_english_17,"bitch plz whatever",0,1
hasoc_english_18,"bitch who do you love",0,1
hasoc_english_19,"bitches get cut off everyday B",0,1
hasoc_english_20,"black bottle &amp; a bad bitch",0,1
hasoc_english_21,"broke bitch cant tell me nothing",0,1
hasoc_english_22,"cancel that bitch like Nino",0,1
hasoc_english_23,"cant you see these hoes wont change",0,1
hasoc_english_24,"fuck no that bitch dont even suck dick " &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0,1
hasoc_english_25,"got ya bitch tip toeing on my hardwood floors " &#128514; http://t.co/cOU2WQ5L4q",0,1
hasoc_english_26,"her pussy lips like Heaven doors " &#128524;",0,1
hasoc_english_27,"hoe what its hitting for",0,1
hasoc_english_28,"i met that pussy on Ocean Dr . i gave that pussy a pill " &#128524;",0,1
hasoc_english_29,"i need a trippy bitch who fuck on Hennessy",0,1
hasoc_english_30,"i spend my money how i want bitch its my business",0,1
hasoc_english_31,"i txt my old bitch my new bitch pussy wetter",0,1
hasoc_english_32,"i'd say im back to the old me but my old bitches would get excited " &#128524;",0,1
hasoc_english_33,"if you aint bout that Murder Game pussy nigga shut up",0,1
hasoc_english_34,"if you're toes ain't done you pussy stinks",0,1
hasoc_english_35,"im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that",0,1
hasoc_english_36,"is that ya bitch",0,1
hasoc_english_37,"it aint nothing to cut a bitch off",0,1
hasoc_english_38,"jus meet son now he ya mane ass bitches " #Shots",0,1
hasoc_english_39,"lames crying over hoes thats tears of a clown",0,1
hasoc_english_40,"like Snoop said in 94 we dont love these hoes",0,1
hasoc_english_41,"momma said no pussy cats inside my doghouse",1,0
hasoc_english_42,"most hated but the hoes favorite " #2MW #SevenOne # http://t.co/BMdSVMc3rC",0,1
hasoc_english_43,"nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick" http://t.co/bzRDl3kF7U",0,1
hasoc_english_44,"pimps up pimps up hoes down " Future voice",0,1
hasoc_english_45,"post a picture of that pussy get 200 likes",0,1
hasoc_english_46,"pussy is a powerful drug " &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",0,1
hasoc_english_47,"quick piece of pussy call it a drive by",0,1
hasoc_english_48,"running round here like some brand new pussy thats bout to get fucked",0,1
hasoc_english_49,"these bitches even worst they'll send them guys for you",0,1
hasoc_english_50,"these hoes like niggas that spend money not talk bout it",0,1
hasoc_english_51,"we dont trust these niggas all these bitches",0,1
hasoc_english_52,"yall niggas b cuffing hoes cause yall aint never have bitches",0,1
hasoc_english_53,"you dodge a bullet " &#128517; &#8220;@DaRealKha: "All da bitches I cut off pregnant or bound to be ....thank God &#128591;"&#8221;",0,1
hasoc_english_54,"young Pill Chamberlain these bitches love my music",0,1
hasoc_english_55,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........",0,1
hasoc_english_56,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight",0,1
hasoc_english_57,"&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it",0,1
hasoc_english_58,"&amp; he's gone always be a hoe",0,1
hasoc_english_59,"...Son of a bitch took my Tic Tacs."  I like this movie.",0,1
hasoc_english_60,"..All I wanna do is get money and fuck model bitches!" - Russell Simmons",0,1
hasoc_english_61,"@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers". Retweet",0,1
hasoc_english_62,"@A7XDemery: I'm a fucking fag they said",0,1
hasoc_english_63,"@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz" how does doing this stuff make him a pussy?",0,1
hasoc_english_64,"@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF" woof woof hot scally lad",1,0
hasoc_english_65,"@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice" Yes",0,1
hasoc_english_66,"@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;" I SWEAR!!!!!",0,1
hasoc_english_67,"@AllAboutManFeet: http://t.co/3gzUpfuMev" woof woof and hot soles",1,0
hasoc_english_68,"@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes." One oreo? Lol",1,0
hasoc_english_69,"@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1" maybe you'll get better. Just http://t.co/TPreVwfq0S",0,1
