"id","comment_text","NOT","HOF"
hasoc_english_310553,"Well said sonu..you have courage to stand against dadagiri of Muslims",0,1
hasoc_english_310554,"Most of Private Banks ATM's Like HDFC, ICICI etc are out of cash. Only Public sector bank's ATM working",1,0
hasoc_english_310555,"Now question is, Pakistan will adhere to this?",0,1
hasoc_english_310556,"Pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts  on others.....all the rascals have gathered there...",0,1
hasoc_english_310557,"??we r against cow slaughter,so of course it will stop leather manufacturing if it happens.",1,0
hasoc_english_310558,"Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decent Restaurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.",0,1
hasoc_english_310559,"How does inflation react to all the after shocks of this demon...?",1,0
hasoc_english_310560,"Not good job.....this guis creating a problem n our socacity",0,1
hasoc_english_310561,"This is a false news Indian media is simply misguiding there nation and creating hatred..Media should be v careful while spreading the news..SHAME.:(",1,0
hasoc_english_310562,"no permanent foes, no permanent friends. interest is permanent !",1,0
hasoc_english_310563,"Deepak Kumar Sharma Saab...chalo aap ki Ye baat ek baar mann li...Now whatever pm Saab has talked about in 2014...Kya kya Kia us main...He is just a campaigner of BJP nothing else,ek cheez bta do.... but he is implementing all the bills which he opposed before 2014.. Example- FDI,GST and list is long...",1,0
hasoc_english_310564,"Communist parties killed lacks of opponents in WB in 35 years ruling????? ?",0,1
hasoc_english_310565,"Why you guys counter the modi govt decisions, its fact there is black money cleanup stand taken ... so many discussions on news channel, individuals meetings  Why so much of efforts made by media and make people scared and provoke",1,0
hasoc_english_310566,"Rss is 3 time ban terrorist organization",0,1
hasoc_english_310567,"No  Same acting ll be there ..  but we ll watch no option !!! 😬😜",1,0
hasoc_english_310568,"Happy Diwali.!!let's wish the next one year health,wealth n growth to our Indian economy.",1,0
hasoc_english_310569,"Lolz... He said he is gonna employ large number of people in cyber security sector.. are you gonna employ illiterates in that profile..????",1,0
hasoc_english_310570,"So funny stupid,,,,,,,,",0,1
hasoc_english_310571,"absolutely! the deeper you dive the shallower cushion you have .",0,1
hasoc_english_310572,"Brown Sahib , anti national leftist commies , media and Muslim pandering Hindu sick-O-Lars have milked "secularism" to all it was worth to render it into a mere failed slogan . Sick-O-Larism has been nothing more than continuation of British policy of "divide and rule" . That RSS is opposed to "the idea of secularism" , absolutely  because it has been used as a dagger into the heart of Hindus , Hinduism and Hindustan .",0,1
hasoc_english_310573,"Now nifty above 20 day moving average, what next 50 day moving average 8359",1,0
hasoc_english_310574,"Good to see when their in no terrror in pak and afgan and india as well so in can for development  step",1,0
hasoc_english_310575,"First of all,there is no gaurakshak in assam.the villagers beaten those two thieves...these things happen,when thieves try to steal the only property farmers have.",1,0
hasoc_english_310576,"AAP dont need the monsters like u",0,1
hasoc_english_310577,"For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt",0,1
hasoc_english_310578,"Once upon a time Bengal/ Kolkata was most prosperous states in India. Now it is compared with Bihar/ Odisa. Wake up Mitra. Use your knowledge to help Bengal, rather than delivering stupid lecture.",1,0
